GEOID,route_id,n_stops,best_headway_min,total_trips,route_short_name,route_long_name,route_type
12086010010,30416,9,30.0,44,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010010,30435,6,60.0,18,95,I-95 GOLDEN GLADES EXPRESS,3
12086010010,30449,14,22.5,111,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086010012,30415,24,25.714285714285715,143,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010012,30717,12,30.0,66,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010013,30416,9,30.0,44,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010013,30435,5,60.0,15,95,I-95 GOLDEN GLADES EXPRESS,3
12086010013,30449,12,12.0,103,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086010013,30717,1,36.0,5,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010015,30416,7,18.0,36,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010015,30717,12,30.0,59,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010016,30416,7,18.0,40,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010016,30717,8,30.0,41,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010017,30416,8,30.0,38,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010017,30419,1,30.0,6,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,3
12086010017,30430,12,30.0,61,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086010017,30435,5,60.0,15,95,I-95 GOLDEN GLADES EXPRESS,3
12086010017,30449,13,12.0,117,183,AVENTURA-HIALEAH VIA 183 ST/67 AVE,3
12086010017,30717,2,36.0,10,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010018,30416,5,30.0,26,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010018,30419,4,30.0,18,37,HIALEAH-SO.MIAMI VIA PALM/37 AVE,3
12086010018,30430,15,30.0,76,75,MIAMI LAKES-NORTH MIAMI-SUNNY ISLES,3
12086010019,30415,7,30.0,42,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010019,30416,9,18.0,48,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010019,30717,11,30.0,59,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010020,30415,7,25.714285714285715,44,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010020,30416,11,18.0,52,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
12086010020,30717,11,30.0,59,199,COUNTRY CLUB-AVENTURA MALL VIA 199,3
12086010021,30415,2,30.0,12,27,COCO GROVE-MIA GARDENS VIA NW 27 AV,3
12086010021,30416,8,30.0,41,32,MIAMI GRDNS-OMNI VIA NW 32 AVE-20ST,3
