tract_geoid,deficit_actual,deficit_predicted,residual,risk_tier
12086007601,0.41134386051805416,0.41550073,-0.004156869758053627,Moderate
12086007603,0.33326538820771995,0.34233558,-0.009070193571760032,Low
12086007610,0.5103439855380962,0.52166295,-0.011318964977650836,High
12086007605,0.40472949055752877,0.40508518,-0.00035568567194815826,Moderate
12086007607,0.5273587472133043,0.5621944,-0.03483565977293224,High
12086007708,0.5435958680473328,0.6141656,-0.07056973606719963,Critical
12086007706,0.5405155952015995,0.5580615,-0.01754588532055623,High
12086007704,0.4896542892779463,0.4310671,0.058587180169975106,Moderate
12086007705,0.40531286902713237,0.39794967,0.0073632032422965565,Moderate
12086007801,0.5127928864069011,0.499044,0.013748885304453617,High
12086007809,0.5637853471923104,0.58490926,-0.0211239130806693,Critical
12086007805,0.2863921619095218,0.31930172,-0.0329095625243771,Low
12086007806,0.6002363274879337,0.55995345,0.04028287633131744,High
12086007807,0.5859195876631177,0.57656014,0.009359448007050797,High
12086007901,0.447683704682084,0.44485965,0.0028240509707650463,High
12086007902,0.3938365868510606,0.41088286,-0.0170462735710738,Moderate
12086008000,0.4746694110970875,0.47018477,0.004484637890376675,High
12086008101,0.4981876132190551,0.49465868,0.0035289344489897734,High
12086008102,0.4496717742094282,0.451137,-0.0014652320733781754,High
12086008202,0.50913306069578,0.51271516,-0.0035821001509301897,High
12086008205,0.48629496557033186,0.47818366,0.008111308639408399,High
12086008206,0.4434222712276541,0.48727077,-0.043848501229468706,High
12086008207,0.4970776346581357,0.5084397,-0.011362085018835733,High
12086008208,0.3900643814340666,0.44478273,-0.05471835248316975,High
12086008209,0.5388589612199366,0.54597616,-0.007117200736850515,High
12086008313,0.5484100194027011,0.5563495,-0.007939496512215927,High
12086008305,0.36311489183085827,0.34875602,0.014358876530107534,Low
12086008310,0.5401214561644402,0.5503778,-0.010256329995075197,High
12086008315,0.6554946934995272,0.67129624,-0.015801545399703798,Critical
12086008308,0.5198356984928338,0.516838,0.0029976843670098674,High
12086008309,0.349060334016542,0.32697842,0.02208191876576382,Low
12086008429,0.6155715057839739,0.59557027,0.02000123953717825,Critical
12086008423,0.6213016082348055,0.61246675,0.008834855705661226,Critical
12086008409,0.3407084565856232,0.33914766,0.0015607994296326089,Low
12086008421,0.5581655031392033,0.56103843,-0.0028729313662593237,High
12086008431,0.6376578848167643,0.5574985,0.08015937016451213,High
12086008426,0.5923854988782628,0.6029835,-0.010597975853182562,Critical
12086008415,0.46469928458575527,0.47713694,-0.01243765517826756,High
12086008416,0.34366793457856415,0.34927395,-0.00560601528296234,Low
